[2026-05-15 12:58:19] [INFO] ================================================================================
[2026-05-15 12:58:19] [INFO] STEP step_002_secondary_spectra STARTED
[2026-05-15 12:58:19] [INFO] Description: Secondary spectrum computation S(τ, f_D)
[2026-05-15 12:58:19] [INFO] Physics: 2D Fourier transform of covariance C(Δt, Δν) = ⟨δI δI⟩
[2026-05-15 12:58:19] [INFO] Method: Vectorized FFT with conjugate symmetry optimization
[2026-05-15 12:58:19] [INFO] ================================================================================
[2026-05-15 12:58:19] [INFO]       Auto-selected 8 FFT worker processes (TEP_WORKERS / TEP_STEP002_MAX_WORKERS override)
[2026-05-15 12:58:19] [INFO] ═══ ======================================================================
[2026-05-15 12:58:19] [INFO] ═══ STEP 002: Secondary Spectrum Generation & Arc Detection
[2026-05-15 12:58:19] [INFO] ═══ ======================================================================
[2026-05-15 12:58:19] [INFO]       M4 Pro Optimized Vectorized FFT Parallel: 8 workers
[2026-05-15 12:58:19] [INFO]       Min SNR threshold: 1.5, Sub-bands: 1
[2026-05-15 12:58:19] [INFO]       Processing 10201 J0437 epochs...
[2026-05-15 12:58:22] [INFO]       SKIP a060423_035233.rf.pcm: too small (11x128)
[2026-05-15 12:58:22] [INFO]       OK   a060423_025733.rf.pcm: sb0:53al
[2026-05-15 12:58:22] [INFO]       OK   a060422_052053.rf.pcm: sb0:76al
[2026-05-15 12:58:22] [INFO]       OK   a060409_013143.rf.pcm: sb0:526al
[2026-05-15 12:58:22] [INFO]       OK   a060409_023913.rf.pcm: sb0:527al
[2026-05-15 12:58:22] [INFO]       OK   a060423_041513.rf.pcm: sb0:91al
[2026-05-15 12:58:22] [INFO]       OK   a060421_033433.rf.pcm: sb0:248al
[2026-05-15 12:58:22] [INFO]       OK   a060508_230634.rf.pcm: sb0:100al
[2026-05-15 12:58:22] [INFO]       OK   a060508_234313.rf.pcm: sb0:4al
[2026-05-15 12:58:22] [INFO]       OK   a060418_000351.rf.pcm: sb0:298al
[2026-05-15 12:58:22] [INFO]       OK   a060421_065633.rf.pcm: sb0:178al
[2026-05-15 12:58:22] [INFO]       OK   a060509_010943.rf.pcm: sb0:120al
[2026-05-15 12:58:22] [INFO]       OK   a060509_002625.rf.pcm: sb0:140al
[2026-05-15 12:58:22] [INFO]       OK   a060509_043944.rf.pcm: sb0:4al
[2026-05-15 12:58:22] [INFO]       OK   a060509_014813.rf.pcm: sb0:132al
[2026-05-15 12:58:22] [INFO]       SKIP a060526_061141.rf.pcm: too small (10x512)
[2026-05-15 12:58:22] [INFO]       OK   a060424_034803.rf.pcm: sb0:296al
[2026-05-15 12:58:22] [INFO]       OK   a060525_064347.rf.pcm: sb0:80al
[2026-05-15 12:58:22] [INFO]       OK   a060509_040334.rf.pcm: sb0:91al
[2026-05-15 12:58:22] [INFO]       OK   a060509_032333.rf.pcm: sb0:135al
[2026-05-15 12:58:22] [INFO]       OK   a060526_032013.rf.pcm: sb0:90al
[2026-05-15 12:58:22] [INFO]       OK   a060510_015233.rf.pcm: sb0:137al
[2026-05-15 12:58:22] [INFO]       OK   a060509_022503.rf.pcm: sb0:232al
[2026-05-15 12:58:22] [INFO]       OK   a060527_231533.rf.pcm: sb0:79al
[2026-05-15 12:58:22] [INFO]       OK   a060528_022603.rf.pcm: sb0:7al
[2026-05-15 12:58:22] [INFO]       OK   a060529_214733.rf.pcm: sb0:47al
[2026-05-15 12:58:22] [INFO]       OK   a060527_234613.rf.pcm: sb0:4al
[2026-05-15 12:58:22] [INFO]       OK   a060526_232919.rf.pcm: sb0:288al
[2026-05-15 12:58:22] [INFO]       OK   a060526_221343.rf.pcm: sb0:291al
[2026-05-15 12:58:22] [INFO]       OK   a060614_213723.rf.pcm: sb0:26al
[2026-05-15 12:58:22] [INFO]       OK   a060614_221636.rf.pcm: sb0:19al
[2026-05-15 12:58:22] [INFO]       OK   a060528_033313.rf.pcm: sb0:98al
[2026-05-15 12:58:22] [INFO]       OK   a060527_003433.rf.pcm: sb0:369al
[2026-05-15 12:58:22] [INFO]       OK   a060614_233525.rf.pcm: sb0:5al
[2026-05-15 12:58:23] [INFO]       OK   a060528_041113.rf.pcm: sb0:302al
[2026-05-15 12:58:23] [INFO]       OK   a060615_004003.rf.pcm: sb0:85al
[2026-05-15 12:58:23] [INFO]       OK   a060615_220303.rf.pcm: sb0:3al
[2026-05-15 12:58:23] [INFO]       OK   a060615_230753.rf.pcm: sb0:70al
[2026-05-15 12:58:23] [INFO]       OK   a060615_205543.rf.pcm: sb0:80al
[2026-05-15 12:58:23] [INFO]       OK   a060616_001254.rf.pcm: sb0:6al
[2026-05-15 12:58:23] [INFO]       OK   a060616_012013.rf.pcm: sb0:89al
[2026-05-15 12:58:23] [INFO]       OK   a060617_225343.rf.pcm: sb0:36al
[2026-05-15 12:58:23] [INFO]       OK   a060616_220457.rf.pcm: sb0:44al
[2026-05-15 12:58:23] [INFO]       OK   a060613_234704.rf.pcm: sb0:237al
[2026-05-15 12:58:23] [INFO]       OK   a060617_220233.rf.pcm: sb0:74al
[2026-05-15 12:58:23] [INFO]       OK   a060616_023703.rf.pcm: sb0:155al
[2026-05-15 12:58:23] [INFO]       OK   a060620_233604.rf.pcm: sb0:8al
[2026-05-15 12:58:23] [INFO]       OK   a060616_204633.rf.pcm: sb0:286al
[2026-05-15 12:58:23] [INFO]       OK   a060620_222653.rf.pcm: sb0:83al
[2026-05-15 12:58:23] [INFO]       OK   a060630_200824.rf.pcm: sb0:87al
[2026-05-15 12:58:23] [INFO]       OK   a060617_205613.rf.pcm: sb0:231al
[2026-05-15 12:58:23] [INFO]       OK   a060619_211543.rf.pcm: sb0:256al
[2026-05-15 12:58:23] [INFO]       OK   a060618_220343.rf.pcm: sb0:331al
[2026-05-15 12:58:23] [INFO]       OK   a060619_221839.rf.pcm: sb0:346al
[2026-05-15 12:58:23] [INFO]       OK   a060702_232543.rf.pcm: sb0:68al
[2026-05-15 12:58:23] [INFO]       OK   a060702_035211.rf.pcm: sb0:71al
[2026-05-15 12:58:23] [INFO]       OK   a060701_202844.rf.pcm: sb0:76al
[2026-05-15 12:58:23] [INFO]       OK   a060703_003133.rf.pcm: sb0:80al
[2026-05-15 12:58:23] [INFO]       OK   a060630_185643.rf.pcm: sb0:393al
[2026-05-15 12:58:23] [INFO]       OK   a060703_013728.rf.pcm: sb0:3al
[2026-05-15 12:58:23] [INFO]       OK   a060703_221143.rf.pcm: sb0:4al
[2026-05-15 12:58:23] [INFO]       OK   a060630_210521.rf.pcm: sb0:341al
[2026-05-15 12:58:23] [INFO]       OK   a060701_192313.rf.pcm: sb0:358al
[2026-05-15 12:58:23] [INFO]       OK   a060704_004554.rf.pcm: sb0:90al
[2026-05-15 12:58:23] [INFO]       OK   a060724_184638.rf.pcm: sb0:0al
[2026-05-15 12:58:23] [INFO]       OK   a060630_232432.rf.pcm: sb0:435al
[2026-05-15 12:58:23] [INFO]       OK   a060724_195200.rf.pcm: sb0:24al
[2026-05-15 12:58:23] [INFO]       OK   a060724_172405.rf.pcm: sb0:148al
[2026-05-15 12:58:23] [INFO]       OK   a060724_201021.rf.pcm: sb0:29al
[2026-05-15 12:58:23] [INFO]       OK   a060703_234004.rf.pcm: sb0:282al
[2026-05-15 12:58:23] [INFO]       OK   a060725_183236.rf.pcm: sb0:112al
[2026-05-15 12:58:23] [INFO]       OK   a060715_215514.rf.pcm: sb0:308al
[2026-05-15 12:58:23] [INFO]       OK   a060725_193813.rf.pcm: sb0:126al
[2026-05-15 12:58:23] [INFO]       OK   a060726_175301.rf.pcm: sb0:122al
[2026-05-15 12:58:23] [INFO]       OK   a060715_230514.rf.pcm: sb0:251al
[2026-05-15 12:58:23] [INFO]       OK   a060818_193159.rf.pcm: sb0:8al
[2026-05-15 12:58:23] [INFO]       OK   a060726_185754.rf.pcm: sb0:138al
[2026-05-15 12:58:23] [INFO]       SKIP a060820_220317.rf.pcm: too small (11x512)
[2026-05-15 12:58:23] [INFO]       OK   a060819_174437.rf.pcm: sb0:78al
[2026-05-15 12:58:23] [INFO]       OK   a060716_001324.rf.pcm: sb0:346al
[2026-05-15 12:58:23] [INFO]       OK   a060820_164308.rf.pcm: sb0:37al
[2026-05-15 12:58:23] [INFO]       OK   a060716_231944.rf.pcm: sb0:273al
[2026-05-15 12:58:23] [INFO]       OK   a060820_210141.rf.pcm: sb0:84al
[2026-05-15 12:58:23] [INFO]       OK   a060915_175029.rf.pcm: sb0:6al
[2026-05-15 12:58:23] [INFO]       OK   a060915_164957.rf.pcm: sb0:70al
[2026-05-15 12:58:23] [INFO]       OK   a060915_185059.rf.pcm: sb0:11al
