[2026-05-17 16:02:39] [INFO] ================================================================================
[2026-05-17 16:02:39] [INFO] STEP step_003_closure_delays_final STARTED
[2026-05-17 16:02:39] [INFO] Description: Closure delay extraction from arclet triplets (PARALLEL)
[2026-05-17 16:02:39] [INFO] Physics: Measuring holonomy H = ∮ dτ_prop via triangulation
[2026-05-17 16:02:39] [INFO] Method: Parabolic fitting to arclets, parallel epoch processing with ProcessPoolExecutor
[2026-05-17 16:02:39] [INFO] ================================================================================
[2026-05-17 16:02:40] [INFO] ═══ ============================================================
[2026-05-17 16:02:40] [INFO] ═══ TEP-J0437 Step 003: Closure Delay Extraction
[2026-05-17 16:02:40] [INFO] ═══ ============================================================
[2026-05-17 16:02:40] [INFO]       Method: Sub-pixel cross-term measurement Parallel: 12 workers
[2026-05-17 16:02:40] [INFO]       Parameters: max_arclets=12, use_snr_threshold=True, min_snr=5.0
[2026-05-17 16:02:45] [INFO]         [OK] m2004-05-19-00:26:08.rf.pcm_seconda Delta=+0.0157 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-06-19-21:33:50.rf.pcm_seconda Delta=+0.0149 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-06-20-21:41:32.rf.pcm_seconda Delta=+0.0486 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-07-24-20:28:39.rf.pcm_seconda Delta=-0.0111 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-07-16-22:34:33.rf.pcm_seconda Delta=-0.2396 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-08-12-19:51:35.rf.pcm_seconda Delta=+0.0148 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-06-11-22:59:25.rf.pcm_seconda Delta=-0.0163 us
[2026-05-17 16:02:45] [INFO]         [OK] a070814_232141.rf.pcm_secondary     Delta=-0.0086 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-06-20-20:25:12.rf.pcm_seconda Delta=+0.0118 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-08-13-18:42:38.rf.pcm_seconda Delta=+0.0113 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-09-11-18:39:06.rf.pcm_seconda Delta=-0.0096 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-07-23-21:05:29.rf.pcm_seconda Delta=+0.0122 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-09-12-14:41:25.rf.pcm_seconda Delta=+0.0553 us
[2026-05-17 16:02:45] [INFO]         [OK] a071224_134206.rf.pcm_secondary     Delta=+0.0205 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-09-12-20:05:48.rf.pcm_seconda Delta=-0.0081 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-08-02-19:38:59.rf.pcm_seconda Delta=+0.0148 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-08-14-19:21:36.rf.pcm_seconda Delta=-0.0106 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-09-14-17:47:27.rf.pcm_seconda Delta=+0.0054 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-08-14-20:26:46.rf.pcm_seconda Delta=+0.0104 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-09-12-17:48:46.rf.pcm_seconda Delta=-0.0081 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-08-01-19:23:22.rf.pcm_seconda Delta=+0.0126 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-08-01-18:17:37.rf.pcm_seconda Delta=-0.0119 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-09-28-18:28:37.rf.pcm_seconda Delta=+0.0085 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-09-27-19:05:47.rf.pcm_seconda Delta=-0.0074 us
[2026-05-17 16:02:45] [INFO]         [OK] m2005-01-05-11:04:20.rf.pcm_seconda Delta=-0.0092 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-09-28-19:06:15.rf.pcm_seconda Delta=-0.0165 us
[2026-05-17 16:02:45] [INFO]         [OK] m2005-01-05-09:31:28.rf.pcm_seconda Delta=+0.0853 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-09-13-20:21:46.rf.pcm_seconda Delta=+0.0063 us
[2026-05-17 16:02:45] [INFO]         [OK] m2005-01-06-10:51:31.rf.pcm_seconda Delta=-0.1238 us
[2026-05-17 16:02:45] [INFO]         [OK] m2005-01-06-10:18:52.rf.pcm_seconda Delta=-0.0072 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-09-28-19:44:17.rf.pcm_seconda Delta=+0.0649 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-09-28-21:10:47.rf.pcm_seconda Delta=+0.0085 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-09-14-18:59:17.rf.pcm_seconda Delta=-0.0057 us
[2026-05-17 16:02:45] [INFO]         [OK] m2005-04-22-02:38:44.rf.pcm_seconda Delta=-0.1368 us
[2026-05-17 16:02:45] [INFO]         [OK] m2005-05-28-00:14:36.rf.pcm_seconda Delta=+0.0470 us
